OTU,Hit_number,eval,bitscore,%ID,genus,species,hit_def,align_len
ASV_3145,1,3.07645e-38,187,89.68,Azadinium,species_unassigned,"Azadinium trinitatum genomic DNA sequence contains 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2, 28S rRNA gene, strain N-39-04",126
ASV_3145,9,3.07645e-38,187,89.68,Not_Found,species_unassigned,"Uncultured eukaryote clone SGYO1483 18S ribosomal RNA gene, partial sequence",126
ASV_3146,1,2.71931e-58,261,99.25,genus_unassigned,species_unassigned,"Uncultured eukaryote clone ST5960.040 18S ribosomal RNA gene, partial sequence",133
ASV_3147,1,1.21018e-43,207,91.6,Not_Found,species_unassigned,"Uncultured eukaryote clone ST5900.037 18S ribosomal RNA gene, partial sequence",131
ASV_3147,2,6.26888e-41,197,90.08,Goniomonas,species_unassigned,"Uncultured Goniomonas clone 7956 18S ribosomal RNA gene, partial sequence",131
ASV_3148,1,7.23511e-40,192,90.48,Akashiwo,Akashiwo sanguinea,"Akashiwo sanguinea 18S ribosomal RNA gene, partial sequence",126
ASV_3148,2,7.23511e-40,192,90.48,Not_Found,Not_Found,"Uncultured marine plankton clone BW-dinoclone15 small subunit ribosomal RNA gene, partial sequence",126
ASV_3149,1,4.27255e-49,227,96.03,Not_Found,species_unassigned,"Uncultured eukaryote clone SGYH824 18S ribosomal RNA gene, partial sequence",126
ASV_3149,5,2.69627e-45,212,93.65,Amoebophrya,species_unassigned,"Amoebophrya sp. isolate JZBA3-1 small subunit ribosomal RNA gene, partial sequence",126
ASV_3150,1,5.93894e-41,197,91.27,Not_Found,Not_Found,"Uncultured eukaryote clone WS073.007 18S ribosomal RNA gene, partial sequence",126
ASV_3150,51,5.93894e-41,197,91.27,Not_Found,Dinophyceae sp. CCMP1878,"Dinophyceae sp. CCMP1878 18S small subunit ribosomal RNA gene, complete sequence",126
ASV_3151,1,8.24796e-52,237,97.62,Not_Found,species_unassigned,"Uncultured eukaryote clone SGYP1057 18S ribosomal RNA gene, partial sequence",126
ASV_3151,15,2.21324e-46,217,94.44,Amoebophrya,species_unassigned,"Amoebophrya sp. isolate HKB7-11 small subunit ribosomal RNA gene, partial sequence",126
ASV_3152,1,6.3952e-60,266,100.0,genus_unassigned,species_unassigned,"Insulatricha hippai voucher JSMJ46 18S ribosomal RNA gene, complete sequence",133
ASV_3153,1,2.84683e-51,235,97.6,genus_unassigned,species_unassigned,"Uncultured Sphenomonadales clone CH1_S2_16 small subunit ribosomal RNA gene, partial sequence",125
ASV_3154,1,3.9526e-56,252,98.47,Not_Found,species_unassigned,"PREDICTED: Quercus lobata 18S ribosomal RNA (LOC115969666), rRNA",131
ASV_3154,7,3.9526e-56,252,98.47,Pelargonium,species_unassigned,"Pelargonium xerophyton voucher Mao-Lun Weng G1060 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",131
ASV_3155,1,1.61135e-35,176,88.62,Not_Found,Not_Found,"Uncultured eukaryote clone AA5F15RM4A12 18S ribosomal RNA gene, partial sequence",123
ASV_3155,6,8.34698e-33,166,86.99,Not_Found,uncultured marine eukaryote,"uncultured marine eukaryote partial 18S rRNA gene, isolate AB535_P04_TELO_H_46_S",123
ASV_3156,1,5.09164e-42,200,90.77,Not_Found,Not_Found,"Uncultured marine eukaryote clone UEPACMp4 18S ribosomal RNA gene, partial sequence",130
ASV_3156,3,9.2059e-39,189,90.08,Not_Found,uncultured marine picoeukaryote,"uncultured marine picoeukaryote partial 18S rRNA gene, isolate ws_96, clone 1802E03",131
ASV_3157,1,4.5139e-30,157,83.97,Not_Found,species_unassigned,"Uncultured marine haptophyte clone Biosope_T58.080 18S ribosomal RNA gene, partial sequence",131
ASV_3157,12,5.49906e-29,152,83.21,Goniomonas,species_unassigned,"Uncultured Goniomonas clone 7956 18S ribosomal RNA gene, partial sequence",131
ASV_3158,1,1.2105e-49,228,96.83,Not_Found,Not_Found,"Uncultured eukaryote clone SGYP1456 18S ribosomal RNA gene, partial sequence",126
ASV_3158,35,2.84935e-32,165,87.6,Not_Found,uncultured marine picoeukaryote,"uncultured marine picoeukaryote partial 18S rRNA gene, isolate ws_101, clone 1807E06",129
ASV_3159,1,7.55667e-40,192,94.59,genus_unassigned,species_unassigned,"Uncultured eukaryote clone Otu0827 small subunit ribosomal RNA gene, partial sequence",111
ASV_3160,1,1.62761e-54,246,98.44,genus_unassigned,species_unassigned,"Uncultured eukaryote clone ST5960.103 18S ribosomal RNA gene, partial sequence",128
ASV_3161,1,1.08476e-56,254,100.0,Ulva,Ulva flexuosa,"Ulva flexuosa isolate SSD11 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",127
ASV_3161,2,5.61918e-54,244,98.43,Not_Found,Not_Found,"Diatoma vulgare var. linearis strain D-116 18S ribosomal RNA gene, partial sequence",127
ASV_3162,1,2.00194e-09,81,97.67,genus_unassigned,species_unassigned,"Micromonas sp. RCC299 mitochondrion, complete genome",43
ASV_3163,1,1.08476e-56,254,100.0,Amoebophrya,species_unassigned,"Amoebophrya sp. isolate YT7-14 small subunit ribosomal RNA gene, partial sequence",127
