OTU,Hit_number,eval,bitscore,%ID,genus,species,hit_def,align_len
ASV_3931,1,1.22519e-30,159,87.6,Protoperidinium,Protoperidinium leonis,"Protoperidinium leonis gene for 18S rRNA, partial sequence, isolate: #4 >gi|61287152|dbj|AB181895.1| Protoperidinium leonis gene for 18S rRNA, partial sequence, isolate: #5 >gi|61287153|dbj|AB181896.1| Protoperidinium leonis gene for 18S rRNA, partial sequence, isolate: #8 >gi|61287154|dbj|AB181897.1| Protoperidinium leonis gene for 18S rRNA, partial sequence, isolate: #9 >gi|61287155|dbj|AB181898.1| Protoperidinium leonis gene for 18S rRNA, partial sequence, isolate: #10",129
ASV_3931,2,4.00516e-24,134,82.54,Not_Found,Not_Found,"Uncultured eukaryote clone SGYU1529 18S ribosomal RNA gene, partial sequence",126
ASV_3932,1,3.08119e-31,160,87.83,genus_unassigned,species_unassigned,"Uncultured eukaryote clone SGYX645 18S ribosomal RNA gene, partial sequence",115
ASV_3933,1,3.663e-50,230,95.38,genus_unassigned,species_unassigned,"Thysanopoda pectinata voucher E78 small subunit ribosomal RNA gene, partial sequence",130
ASV_3934,1,9.72462e-45,210,93.6,genus_unassigned,species_unassigned,"Uncultured stramenopile clone AA5F15RJ1D11 18S ribosomal RNA gene, partial sequence",125
ASV_3935,1,5.92886e-68,297,96.89,Loligo,species_unassigned,"Loligo pealei 18S ribosomal RNA gene, complete sequence",161
ASV_3935,7,1.49005e-56,255,91.93,Not_Found,species_unassigned,"Pterygioteuthis hoylei isolate 9110X12 18S ribosomal RNA and 28S ribosomal RNA, complete sequence",161
ASV_3936,1,7.81079e-46,214,93.7,Not_Found,Not_Found,"Uncultured eukaryote clone E8 18S ribosomal RNA gene, partial sequence",127
ASV_3936,6,2.55336e-39,191,91.06,Crustomastix,Crustomastix stigmatica,"Crustomastix stigmatica isolate BH41_44 small subunit ribosomal RNA gene, partial sequence",123
ASV_3937,1,1.08572e-37,185,89.76,Not_Found,species_unassigned,"Thecate dinoflagellate UDTSW0701 partial 18S rRNA gene, isolate UDTSW0701",127
