OTU,Hit_number,eval,bitscore,%ID,genus,species,hit_def,align_len
ASV_787,1,4.74655e-29,152,86.67,Not_Found,species_unassigned,"Pseudourostyla sp. isolate KKV7 small subunit ribosomal RNA gene, partial sequence",120
ASV_787,2,1.65671e-28,151,85.59,Pseudokeronopsis,species_unassigned,"Pseudokeronopsis erythrina isolate KKV16 small subunit ribosomal RNA gene, partial sequence",118
ASV_788,1,2.63521e-58,260,100.0,Not_Found,Not_Found,"Uncultured marine eukaryote clone HE000427.21 18S ribosomal RNA gene, complete sequence",130
ASV_788,4,2.02595e-53,242,98.41,Stephanopyxis,Stephanopyxis turris,"Stephanopyxis turris isolate NY13S_180 small subunit ribosomal RNA gene, partial sequence",126
ASV_789,1,4.04609e-43,204,98.17,Not_Found,species_unassigned,"Uncultured marine alveolate clone BBL6SF10.35 18S ribosomal RNA gene, partial sequence",109
ASV_789,20,4.61658e-36,179,88.19,Amoebophrya,species_unassigned,"Amoebophrya sp. isolate ZHASHANMATOU1-11 small subunit ribosomal RNA gene, partial sequence",127
ASV_790,1,4.46045e-55,248,100.0,genus_unassigned,species_unassigned,"Uncultured eukaryote clone SGYP424 18S ribosomal RNA gene, partial sequence",124
ASV_791,1,1.27964e-30,158,84.73,Not_Found,species_unassigned,"Uncultured eukaryote clone SGUH624 18S ribosomal RNA gene, partial sequence",131
ASV_791,5,5.44117e-29,152,84.09,Prymnesium,species_unassigned,"Prymnesium parvum strain CCAP 946/6 18S ribosomal RNA gene, partial sequence",132
ASV_792,1,3.58506e-50,230,100.0,genus_unassigned,species_unassigned,"Uncultured eukaryote gene for SSU rRNA, partial sequence, clone: CYSGM-13",115
ASV_793,1,1.33603e-55,251,99.22,genus_unassigned,species_unassigned,"Uncultured eukaryote gene for SSU rRNA, partial sequence, clone: CYSGM-9",128
ASV_794,1,4.04609e-43,204,92.13,Not_Found,Not_Found,"Diplonemida sp. isolate YPF1523 small subunit ribosomal RNA gene, partial sequence",127
ASV_794,4,2.72864e-26,143,84.25,Diplonema,Diplonema sp. ATCC 50224,"Diplonema sp. ATCC 50224 18S ribosomal RNA gene, partial sequence",127
ASV_794,5,1.72196e-22,129,80.45,Diplonema,Not_Found,"Diplonema sp. isolate YPF1509 small subunit ribosomal RNA gene, partial sequence",133
ASV_795,1,9.93643e-51,232,98.35,Bolidomonas,species_unassigned,"Bolidomonas pacifica isolate BH65_151 small subunit ribosomal RNA gene, partial sequence",121
ASV_795,2,7.63912e-46,215,94.4,Not_Found,species_unassigned,"Uncultured eukaryote clone SGYI792 18S ribosomal RNA gene, partial sequence",125
ASV_796,1,3.14203e-57,256,100.0,Amoebophrya,species_unassigned,"Amoebophrya sp. isolate AT5 small subunit ribosomal RNA gene and internal transcribed spacer 1, partial sequence",128
ASV_796,3,3.14203e-57,256,100.0,Not_Found,species_unassigned,"Uncultured marine eukaryote clone UEPACFp3 18S small subunit ribosomal RNA gene, partial sequence",128
ASV_797,1,1.29246e-55,250,100.0,genus_unassigned,species_unassigned,"Uncultured eukaryote clone SGUH778 18S ribosomal RNA gene, partial sequence",125
ASV_798,1,2.02774e-34,173,86.82,genus_unassigned,species_unassigned,"Uncultured eukaryote clone SGUH695 18S ribosomal RNA gene, partial sequence",129
ASV_799,1,4.44165e-42,201,94.07,genus_unassigned,species_unassigned,"Uncultured alveolate clone PAF4SP2005 18S ribosomal RNA gene, partial sequence",118
ASV_800,1,7.89662e-46,214,93.8,Not_Found,species_unassigned,"Uncultured cercozoan clone MLB86.165 18S ribosomal RNA gene, partial sequence",129
ASV_800,7,2.58142e-39,191,89.84,Protaspis,species_unassigned,"Protaspis sp. CC-2009c small subunit ribosomal RNA gene, partial sequence",128
ASV_801,1,5.49568e-54,245,99.2,genus_unassigned,species_unassigned,"Uncultured eukaryote clone Platea3-5-M13R_C08.ab1 18S ribosomal RNA gene, partial sequence",125
ASV_802,1,1.00481e-50,232,96.83,genus_unassigned,species_unassigned,"Pfiesteriaceae sp. masanensis isolate VIMS 1050 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",126
ASV_803,1,9.09993e-58,258,100.0,genus_unassigned,species_unassigned,"Sphaeronectes haddocki 18S ribosomal RNA gene, complete sequence",129
ASV_804,1,3.74457e-56,252,100.0,genus_unassigned,species_unassigned,"Uncultured eukaryote clone SGYU1293 18S ribosomal RNA gene, partial sequence",126
ASV_805,1,3.74457e-56,252,100.0,Achradina,Achradina pulchra,"Achradina pulchra clone 3 18S ribosomal RNA gene, partial sequence",126
ASV_805,4,3.74457e-56,252,100.0,Not_Found,Not_Found,"Uncultured eukaryote clone SGYP519 18S ribosomal RNA gene, partial sequence",126
ASV_806,1,3.14203e-57,256,100.0,Not_Found,Not_Found,"Uncultured marine eukaryote clone I-8-MC760-OTU-24 18S ribosomal RNA gene, partial sequence",128
ASV_806,4,3.14203e-57,256,100.0,Cryothecomonas,Cryothecomonas sp. APCC MC5-1Cryo,"Cryothecomonas sp. APCC MC5-1Cryo small subunit ribosomal RNA gene, partial sequence",128
ASV_806,7,4.66319e-55,248,100.0,Cryothecomonas,Not_Found,"Cryothecomonas sp. isolate NY13S_83 small subunit ribosomal RNA gene, partial sequence",124
ASV_807,1,2.6869e-51,235,99.17,genus_unassigned,species_unassigned,"Strombidinopsis sp. NSMS0601 18S rRNA gene, strain NSMS0601",120
ASV_808,1,1.59223e-54,247,99.21,Paulsenella,Paulsenella vonstoschii,Paulsenella vonstoschii 18S rRNA gene,126
ASV_808,2,8.24796e-52,237,97.62,Not_Found,Not_Found,"Pfiesteriaceae sp. masanensis isolate VIMS 1050 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",126
ASV_809,1,1.93973e-53,242,98.41,genus_unassigned,species_unassigned,"Gymnodinium sp. GSSW10 genomic DNA containing 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2 and 28S rRNA gene, strain GSSW10",126
ASV_810,1,3.74457e-56,252,100.0,Azadinium,species_unassigned,"Azadinium trinitatum genomic DNA sequence contains 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2, 28S rRNA gene, strain N-39-04",126
ASV_810,16,1.59223e-54,247,99.21,Not_Found,species_unassigned,"Uncultured eukaryote clone SGYO637 18S ribosomal RNA gene, partial sequence",126
ASV_811,1,1.96129e-53,242,100.0,Not_Found,species_unassigned,"Uncultured eukaryote isolate D107 small subunit ribosomal RNA gene, partial sequence",121
ASV_811,2,4.61658e-36,178,89.06,Botryochytrium,species_unassigned,"Botryochytrium sp. strain MBT08 clone 1 small subunit ribosomal RNA gene, partial sequence",128
ASV_812,1,3.74457e-56,252,100.0,Not_Found,Not_Found,"Uncultured eukaryote clone SGUH633 18S ribosomal RNA gene, partial sequence",126
ASV_812,3,4.27255e-49,227,96.03,Paragymnodinium,Paragymnodinium shiwhaense,"Paragymnodinium shiwhaense 18S rRNA gene (partial), ITS1, 5.8S rRNA gene, ITS2 and 28S rRNA gene (partial)",126
ASV_813,1,7.51481e-52,236,100.0,genus_unassigned,species_unassigned,"Uncultured tintinnid ciliate clone 10311 18S ribosomal RNA gene, partial sequence",118
ASV_814,1,4.00162e-43,205,92.91,Not_Found,Not_Found,"Uncultured eukaryote clone ST3500.105 18S ribosomal RNA gene, partial sequence",127
ASV_814,37,1.0057e-31,163,87.6,Not_Found,uncultured marine eukaryote,"uncultured marine eukaryote partial 18S rRNA gene, isolate AB241_C04_MLV2_H_41_S",121
ASV_815,1,1.08476e-56,254,100.0,Planktoniella,Planktoniella sol,"Planktoniella sol 18S rRNA gene, clone p354",127
ASV_815,2,4.61251e-55,249,99.21,Not_Found,Not_Found,"Uncultured marine eukaryote clone NPK57_37 18S ribosomal RNA gene gene, partial sequence",127
ASV_816,1,6.28166e-09,79,93.62,genus_unassigned,species_unassigned,"Selenidium sp. KCW-2012b 18S ribosomal RNA gene, partial sequence",47
